sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
ExprEnr-kitVariant,100,437,406,589,309,1072,0.0,0.3645404238876049,3.789120029035645
ExprEnr-add-kit,100,913,862,1172,634,1454,0.0,0.3643425256952566,15.942134550783884
ExprEnr-validate-ssn,100,285,272,355,208,559,0.0,0.3649941418440234,0.16360577256485034
ExprEnr-validate-email,100,308,287,402,207,653,0.0,0.3650541010177708,0.16363264879605158
ExprEnr-Get PWS Prefix,100,336,318,421,239,842,0.0,0.3649941418440234,0.2634088582253255
ExprEnr-create-account,100,3496,3277,4488,2528,6283,0.0,0.36139440416904584,28.340640935234507
ExprEnr-Create Billing Profile,100,2201,2136,2486,1751,3034,0.0,0.36441820633358846,22.060041885317588
ExprEnr-Place Order - Expr,100,3506,3406,4240,2568,5162,0.0,0.3638149637094574,16.08649430743274
ExprEnr-Login,100,1182,1149,1409,869,2150,0.0,0.3678891623531662,23.496779015418234
ExprEnr-Logout,100,799,763,1009,534,1469,0.0,0.3686567989530147,22.769363554358446
TOTAL,1000,1346,827,3333,207,6283,0.0,3.5083164641783346,127.9033511438866
